ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"cipherTextLength",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS2,NotHandlingExceptions,"cipherTextLength",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS3,NotHandlingExceptions,"com/panda912/jnidemo/crypto/Crypto$Cipher",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS4,NotHandlingExceptions,"cipherText",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS5,NotHandlingExceptions,"getClassLoader",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS6,NotHandlingExceptions,JNI_EXCEPTION,Java_com_panda912_jnidemo_JniUtils_stringFromJNI,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS7,NotHandlingExceptions,JNI_UTILS_CLASS,Java_com_panda912_jnidemo_JniUtils_nativeCallJavaMethod,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS8,NotHandlingExceptions,JNI_EXCEPTION,JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS9,NotHandlingExceptions,"java/lang/ClassLoader",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS10,NotHandlingExceptions,"com/panda912/jnidemo/crypto/Crypto$Cipher",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS11,NotHandlingExceptions,"cipherText",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS12,NotHandlingExceptions,"findClass",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS13,NotHandlingExceptions,"printLogW",Java_com_panda912_jnidemo_JniUtils_nativeCallJavaMethod,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
