ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"alg_version",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS2,NotHandlingExceptions,"method_name",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS3,NotHandlingExceptions,"value",Java_com_example_liboqs_Signature_sign,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS4,NotHandlingExceptions,"java/lang/Long",Java_com_example_liboqs_Signature_sign,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS5,NotHandlingExceptions,"length_ciphertext",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS6,NotHandlingExceptions,"com/example/liboqs/Signature$SignatureDetails",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS7,NotHandlingExceptions,"max_length_signature",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS8,NotHandlingExceptions,"length_public_key",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS9,NotHandlingExceptions,"length_secret_key",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS10,NotHandlingExceptions,"claimed_nist_level",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS11,NotHandlingExceptions,"ind_cca",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS12,NotHandlingExceptions,"length_public_key",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS13,NotHandlingExceptions,"claimed_nist_level",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS14,NotHandlingExceptions,"length_secret_key",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS15,NotHandlingExceptions,"<init>",Java_com_example_liboqs_Signature_sign,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS16,NotHandlingExceptions,"<init>",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS17,NotHandlingExceptions,"length_shared_secret",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS18,NotHandlingExceptions,"com/example/liboqs/KeyEncapsulation$KeyEncapsulationDetails",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
CS19,NotHandlingExceptions,"<init>",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS20,NotHandlingExceptions,"is_euf_cma",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS21,NotHandlingExceptions,"method_name",Java_com_example_liboqs_Signature_get_1sig_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/Signature.c,Signature.c
CS22,NotHandlingExceptions,"alg_version",Java_com_example_liboqs_KeyEncapsulation_get_1KEM_1details,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/LibOQSTestApp-master/liboqs-android/jni/jni/KeyEncapsulation.c,KeyEncapsulation.c
