ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"addressComponents",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS2,NotHandlingExceptions,"replaceNumericHyphens",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS3,NotHandlingExceptions,"trimString",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS4,NotHandlingExceptions,"stripAccents",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS5,NotHandlingExceptions,"decompose",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS6,NotHandlingExceptions,"<init>",Java_com_mapzen_jpostal_AddressParser_libpostalParse,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS7,NotHandlingExceptions,"java/lang/IllegalArgumentException",Java_com_mapzen_jpostal_AddressExpander_setupDataDir,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS8,NotHandlingExceptions,"romanNumerals",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS9,NotHandlingExceptions,"transliterate",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS10,NotHandlingExceptions,"language",Java_com_mapzen_jpostal_ParserOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS11,NotHandlingExceptions,"dropParentheticals",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS12,NotHandlingExceptions,"expandNumex",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS13,NotHandlingExceptions,"country",Java_com_mapzen_jpostal_ParserOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS14,NotHandlingExceptions,"deleteFinalPeriods",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS15,NotHandlingExceptions,"deleteAcronymPeriods",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS16,NotHandlingExceptions,"deleteWordHyphens",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS17,NotHandlingExceptions,"deleteApostrophes",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS18,NotHandlingExceptions,"lowercase",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS19,NotHandlingExceptions,"deleteNumericHyphens",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS20,NotHandlingExceptions,"splitAlphaFromNumeric",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS21,NotHandlingExceptions,"languages",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS22,NotHandlingExceptions,"replaceWordHyphens",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS23,NotHandlingExceptions,"dropEnglishPossessives",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS24,NotHandlingExceptions,"com/mapzen/jpostal/ParsedComponent",Java_com_mapzen_jpostal_AddressParser_libpostalParse,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS25,NotHandlingExceptions,"replaceWordHyphens",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS26,NotHandlingExceptions,"decompose",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS27,NotHandlingExceptions,"replaceNumericHyphens",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS28,NotHandlingExceptions,"java/lang/RuntimeException",Java_com_mapzen_jpostal_AddressParser_setup,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS29,NotHandlingExceptions,"addressComponents",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS30,NotHandlingExceptions,"stripAccents",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS31,NotHandlingExceptions,"dropEnglishPossessives",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS32,NotHandlingExceptions,"splitAlphaFromNumeric",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS33,NotHandlingExceptions,"deleteAcronymPeriods",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS34,NotHandlingExceptions,"latinAscii",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS35,NotHandlingExceptions,"dropParentheticals",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS36,NotHandlingExceptions,"deleteNumericHyphens",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS37,NotHandlingExceptions,"country",Java_com_mapzen_jpostal_AddressParser_libpostalParse,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS38,NotHandlingExceptions,"deleteApostrophes",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS39,NotHandlingExceptions,"deleteWordHyphens",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS40,NotHandlingExceptions,"romanNumerals",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS41,NotHandlingExceptions,"trimString",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS42,NotHandlingExceptions,"transliterate",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS43,NotHandlingExceptions,"deleteFinalPeriods",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS44,NotHandlingExceptions,"languages",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS45,NotHandlingExceptions,"java/lang/IllegalArgumentException",Java_com_mapzen_jpostal_AddressParser_setupDataDir,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
CS46,NotHandlingExceptions,"lowercase",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS47,NotHandlingExceptions,"expandNumex",Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS48,NotHandlingExceptions,"java/lang/RuntimeException",Java_com_mapzen_jpostal_AddressExpander_setup,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS49,NotHandlingExceptions,num_expansions,Java_com_mapzen_jpostal_AddressExpander_libpostalExpand,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS50,NotHandlingExceptions,"latinAscii",Java_com_mapzen_jpostal_ExpanderOptions_00024Builder_setDefaultOptions,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressExpander.c,jpostal_AddressExpander.c
CS51,NotHandlingExceptions,"language",Java_com_mapzen_jpostal_AddressParser_libpostalParse,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/jpostal-master/src/main/c/jpostal_AddressParser.c,jpostal_AddressParser.c
