ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,fieldName,setJObjectAttr__void,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS2,NotHandlingExceptions,"<init>",throwJVMQueryException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS3,NotHandlingExceptions,"java/lang/String",Java_io_github_mksh_jzorba_JZorba_getURIPath,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba.cpp,JZorba.cpp
CS4,NotHandlingExceptions,fieldName,setJQueryAttr__void,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS5,NotHandlingExceptions,fieldName,setJQueryAttr__String,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS6,NotHandlingExceptions,"zorba",getJQueryAttr__proxy,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS7,NotHandlingExceptions,"cZorbaQryProxy",getJQueryAttr__JZorbaQueryProxy,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS8,NotHandlingExceptions,fieldName,getJObjectAttr__void,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS9,NotHandlingExceptions,"io/github/mksh/jzorba/JZorbaError",throwJVMQueryException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
CS10,NotHandlingExceptions,fieldName,getJQueryAttr__String,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jzorba-master/JZorba/src/main/native/JZorba_utils.cpp,JZorba_utils.cpp
