ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementation,,render,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS2,UnusedImplementation,,getWidth,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS3,UnusedImplementation,,close,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS4,UnusedImplementation,,convertBitmap,BitmapOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/BitmapOps.java,BitmapOps.java
CS5,UnusedImplementation,,initSurface,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS6,UnusedImplementation,,getHeight,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS7,UnusedImplementation,,rotateBitmap,BitmapOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/BitmapOps.java,BitmapOps.java
CS8,UnusedImplementation,,useLocalReferenceManageFuntions,LocalAndGlobalReferenceOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/LocalAndGlobalReferenceOps.java,LocalAndGlobalReferenceOps.java
CS9,UnusedImplementation,,nativeFree,ThreadOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/ThreadOps.java,ThreadOps.java
CS10,UnusedImplementation,,loadData,StudentInfoLoader,com.glumes.cppso.infomanager,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/infomanager/StudentInfoLoader.java,StudentInfoLoader.java
CS11,UnusedImplementation,,errorCacheUseLocalReference,LocalAndGlobalReferenceOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/LocalAndGlobalReferenceOps.java,LocalAndGlobalReferenceOps.java
CS12,UnusedImplementation,,open,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS13,UnusedImplementation,,init,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS14,UnusedImplementation,,glRender,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS15,UnusedImplementation,,getFrameRate,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS16,UnusedImplementation,,mirrorBitmap,BitmapOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/BitmapOps.java,BitmapOps.java
CS17,UnusedImplementation,,free,AviPlayer,com.glumes.cppso.aviplayer,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/aviplayer/AviPlayer.java,AviPlayer.java
CS18,UnusedImplementation,,cacheWithGlobalReference,LocalAndGlobalReferenceOps,com.glumes.cppso.jnioperations,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/AndroidDevWithCpp-master/cppso/src/main/java/com/glumes/cppso/jnioperations/LocalAndGlobalReferenceOps.java,LocalAndGlobalReferenceOps.java
