ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementation,,hlBeginFrame,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS2,UnusedImplementation,,hdScheduleSynchronous,HDAPI,com.uce.userlab.haptics.HD,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HD/HDAPI.java,HDAPI.java
CS3,UnusedImplementation,,hlGetShapeDoublev,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS4,UnusedImplementation,,hlTouchableFace,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS5,UnusedImplementation,,hdlDeviceModel,HDAL,com.bcu.userlab.haptics.HDAL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HDAL/HDAL.java,HDAL.java
CS6,UnusedImplementation,,hdlDestroyServoOp,HDAL,com.bcu.userlab.haptics.HDAL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HDAL/HDAL.java,HDAL.java
CS7,UnusedImplementation,,hdWaitForCompletion,HDAPI,com.uce.userlab.haptics.HD,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HD/HDAPI.java,HDAPI.java
CS8,UnusedImplementation,,hlLocalFeature2dv,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS9,UnusedImplementation,,hlDeleteContext,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS10,UnusedImplementation,,hlTriggerEffect,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
