ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,e2,onScroll,HudViewController,com.parrot.freeflight.ui,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/ui/HudViewController.java,HudViewController.java
CS2,UnusedParameters,e1,onScroll,HudViewController,com.parrot.freeflight.ui,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/ui/HudViewController.java,HudViewController.java
CS3,UnusedParameters,context,isOnline,InternetUtils,com.parrot.freeflight.utils,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/utils/InternetUtils.java,InternetUtils.java
CS4,UnusedParameters,theListener,unregisterListener,RemoteSensorManagerWrapper,com.parrot.freeflight.sensors,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/sensors/RemoteSensorManagerWrapper.java,RemoteSensorManagerWrapper.java
CS5,UnusedParameters,room,onOpenFailure,ChatActivity,com.microsoft.cfd.limelight,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/microsoft/cfd/limelight/ChatActivity.java,ChatActivity.java
CS6,UnusedParameters,width,surfaceChanged,VideoStageView,com.parrot.freeflight.video,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/video/VideoStageView.java,VideoStageView.java
CS7,UnusedParameters,state,getItemOffsets,DroneActivity,com.microsoft.cfd.limelight,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/microsoft/cfd/limelight/DroneActivity.java,DroneActivity.java
CS8,UnusedParameters,savedInstanceState,onCreateView,SettingsDialog,com.parrot.freeflight.activities,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/activities/SettingsDialog.java,SettingsDialog.java
CS9,UnusedParameters,holder,surfaceCreated,VideoStageView,com.parrot.freeflight.video,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/video/VideoStageView.java,VideoStageView.java
CS10,UnusedParameters,positionOffset,onPageScrolled,SettingsViewController,com.parrot.freeflight.ui,/home/shahrukh/smellDetection/Detection/projects/projects/projects7/LimeLight-master/app/src/main/java/com/parrot/freeflight/ui/SettingsViewController.java,SettingsViewController.java
