ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,dp_i8,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS2,UnusedImplementationDetectio,,dp_i9,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS3,UnusedImplementationDetectio,,dp_i6,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS4,UnusedImplementationDetectio,,dp_i7,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS5,UnusedImplementationDetectio,,dp_i0,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS6,UnusedImplementationDetectio,,dp_i1,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS7,UnusedImplementationDetectio,,dp_i4,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS8,UnusedImplementationDetectio,,dp_i5,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS9,UnusedImplementationDetectio,,dp_i2,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS10,UnusedImplementationDetectio,,dp_i3,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS11,UnusedImplementationDetectio,,dp_i10,DgQt,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-18.02.01/Pyja/18.02.01/Study/Qt/18.03.27-Puer/DgQt.java,DgQt.java
CS12,UnusedImplementationDetectio,,dp_it,__DgAkkaTellQo,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-19.01.22/Pyja/19.01.22/Study/C++/19.05.07-Rumplestiltskin/S02-Akka-Hello/__DgAkkaTellQo.java,__DgAkkaTellQo.java
CS13,UnusedImplementationDetectio,,sp_main,SToa,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/PYJA-master/Pyja-19.01.22/Pyja/19.01.22/Study/C++/19.05.07-Rumplestiltskin/S02-Akka-Hello/SToa.java,SToa.java
