ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,read1,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS2,UnusedImplementationDetectio,,adv,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS3,UnusedImplementationDetectio,,look1,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS4,UnusedImplementationDetectio,,write,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS5,UnusedImplementationDetectio,,create,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS6,UnusedImplementationDetectio,,buffer,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS7,UnusedImplementationDetectio,,iovecin,OggStreamStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggStreamStateJNI.java,OggStreamStateJNI.java
CS8,UnusedImplementationDetectio,,flushFill,OggStreamStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggStreamStateJNI.java,OggStreamStateJNI.java
CS9,UnusedImplementationDetectio,,getBuffer,OggIovecJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggIovecJNI.java,OggIovecJNI.java
CS10,UnusedImplementationDetectio,,writeclear,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS11,UnusedImplementationDetectio,,readinit,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS12,UnusedImplementationDetectio,,pageout,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS13,UnusedImplementationDetectio,,setHeader,OggPageJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPageJNI.java,OggPageJNI.java
CS14,UnusedImplementationDetectio,,wrote,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS15,UnusedImplementationDetectio,,look,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS16,UnusedImplementationDetectio,,bytes,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS17,UnusedImplementationDetectio,,pageseek,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS18,UnusedImplementationDetectio,,writecopy,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS19,UnusedImplementationDetectio,,adv1,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS20,UnusedImplementationDetectio,,check,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS21,UnusedImplementationDetectio,,writetrunc,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS22,UnusedImplementationDetectio,,bits,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS23,UnusedImplementationDetectio,,packetpeek,OggStreamStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggStreamStateJNI.java,OggStreamStateJNI.java
CS24,UnusedImplementationDetectio,,checksumSet,OggPageJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPageJNI.java,OggPageJNI.java
CS25,UnusedImplementationDetectio,,reset,OggSyncStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggSyncStateJNI.java,OggSyncStateJNI.java
CS26,UnusedImplementationDetectio,,destroy,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS27,UnusedImplementationDetectio,,setBody,OggPageJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPageJNI.java,OggPageJNI.java
CS28,UnusedImplementationDetectio,,eos,OggStreamStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggStreamStateJNI.java,OggStreamStateJNI.java
CS29,UnusedImplementationDetectio,,writecheck,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS30,UnusedImplementationDetectio,,pageoutFill,OggStreamStateJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggStreamStateJNI.java,OggStreamStateJNI.java
CS31,UnusedImplementationDetectio,,read,OggPackBufferJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggPackBufferJNI.java,OggPackBufferJNI.java
CS32,UnusedImplementationDetectio,,setBuffer,OggIovecJNI,org.echocat.jogg,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jogg-master/src/main/java/org/echocat/jogg/OggIovecJNI.java,OggIovecJNI.java
