Project name,Repo,Commit
ADI-master,https://github.com/zkwlx/ADI,6ee2cea
android-tree-sitter-main,https://github.com/AndroidIDEOfficial/android-tree-sitter,9334675
Android-Zbar-JNI-Example-master,https://github.com/ndunks/Android-Zbar-JNI-Example,de91d24
AndroidDevWithCpp-master,https://github.com/glumes/AndroidDevWithCpp,1223713
AndroidJNIDemo-master,https://github.com/dingpengqiang/AndroidJNIDemo,4cb0c1c
Break_it_all-main,https://github.com/simonppg/Break_it_all,5c938ed
dedekind-MKL-master,https://github.com/stefan-zobel/dedekind-MKL,5905a30
DevSlashLirc-master,https://github.com/bengtmartensson/DevSlashLirc,5fc4d27
extension_sdk_demo-master,https://github.com/AsteriskZuo/extension_sdk_demo,a3f9a8e
faiss-center-master,https://github.com/hacktmz/faiss-center,fd450fb
FumoCement-main,https://github.com/novelrt/FumoCement,1789fee
gdal-warp-bindings-master,https://github.com/geotrellis/gdal-warp-bindings,9bb7866
GrandPlan-main,https://github.com/npweber/GrandPlan,62892e0
hello-jniCallback-master,https://github.com/Jiangxuewu/hello-jniCallback,2166028
Intel_SGX_Proj-master,https://github.com/sm67nono/Intel_SGX_Proj,f74905b
ipc-master,https://github.com/nmittu/ipc,38cf16c
janot-master,https://github.com/pitcer/janot,2a1fcc8
JavaCAN-javacan-1.2,https://github.com/pschichtel/JavaCAN/releases/tag/javacan-1.2,6248cc0
JavaCAN-master,https://github.com/pschichtel/JavaCAN,18a3f0c
JavaNativeUtils-master,https://github.com/AlexanderSchuetz97/JavaNativeUtils,7cd174e
jazzer-0.9,https://github.com/CodeIntelligenceTesting/jazzer/releases/tag/v0.9,867b6a1
jdetector-master,https://github.com/hhu-bsinfo/jdetector,9faf203
jni_examples-master,https://github.com/NullpointerWorks/jni_examples,6e0fbf9
jni-bind-Release-0.1.0-alpha,https://github.com/google/jni-bind/releases/tag/Release-0.1.0-alpha,ca02cc9
JniDemo-master,https://github.com/panda912/JniDemo,cdc123f
JNIHelper-master,https://github.com/Pika960/JNIHelper,956649e
jogg-master,https://github.com/echocat/jogg,113679b
jopus-master,https://github.com/echocat/jopus,cdef7b5
jpa-master,https://github.com/rjeschke/jpa,fb09a6b
jpegkit-android-master,https://github.com/CameraKit/jpegkit-android,01a782f
jpostal-master,https://github.com/openvenues/jpostal,0364c0d
JTouchToolkit-master,https://github.com/IanJohnArcher/JTouchToolkit,a17f080
jzorba-master,https://github.com/mksh/jzorba,c0c63b9
leveldbjni-master,https://github.com/ValleZ/leveldbjni,f41e74f
libhpdf-AndroidLibrary-master,https://github.com/SteadfastInnovation/libhpdf-AndroidLibrary,c70d1d9
LibOQSTestApp-master,https://github.com/Hatzen/LibOQSTestApp,84aedb3
libpulse-android-master,https://github.com/hchapman/libpulse-android,dfa4d99
libv4l2-master,https://github.com/nightkidxmd/libv4l2,3fa2f9c
LimeLight-master,https://github.com/CurlSudoBash/LimeLight,0ae99f8
linenoise-android-master,https://github.com/zhanghai/linenoise-android,553dece
ndk-master,https://github.com/suyimin/ndk,fcb715e
ndk-someiplib-main,https://github.com/lixiaolia/ndk-someiplib,6c0739c
neutrino-master,https://github.com/hhu-bsinfo/neutrino,0358663
of_core_jni-main,https://github.com/connectedway/of_core_jni,5ef3d92
openssl4j-master,https://github.com/sfuhrm/openssl4j,69ccc1c
RajawaliAssimpBridge-master,https://github.com/contriteobserver/RajawaliAssimpBridge,de4ed05
RajawaliTollBridge-main,https://github.com/contriteobserver/RajawaliTollBridge,aa050c2
RobotPathfinder-master,https://github.com/tylertian123/RobotPathfinder,8572f47
rtlsdrj-main,https://github.com/itdaniher/rtlsdrj,899c89b
rustjblas-master,https://github.com/sadikovi/rustjblas,3748ef7
SDL2-Ndk-Opengles-SampleApp-master,https://github.com/regar007/SDL2-Ndk-Opengles-SampleApp,51d7d8f
sdljoystick4java-master,https://github.com/jessepav/sdljoystick4java,0f22b1f
SoundTouch4Android-master,https://github.com/noiary/SoundTouch4Android,4e46574
VideoEffectRendering-master,https://github.com/VineshChauhan24/VideoEffectRendering,dd25d62
webrtc-java-0.2.0,https://github.com/devopvoid/webrtc-java/releases/tag/v0.2.0,9496ea6
webrtc-java-master,https://github.com/devopvoid/webrtc-java,02d0201
wolfcrypt-jni-master,https://github.com/wolfSSL/wolfcrypt-jni,ae3ed2b
wolfssljni-master,https://github.com/wolfSSL/wolfssljni,f71ed63
zmq-jni-master,https://github.com/zeromq/zmq-jni,4256653
zstd-jni-master,https://github.com/luben/zstd-jni,3d5ab91
