ID,Name,Variable,Method,Class,Package,File,File Name
CS1,LocalReferencesAbuse,obj,jnew_Msghdr_5,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS2,LocalReferencesAbuse,obj,jthrow_InvalidPathException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS3,LocalReferencesAbuse,obj,jthrow_ReadOnlyFileSystemException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS4,LocalReferencesAbuse,obj,jthrow_SharingViolationException_1,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS5,LocalReferencesAbuse,jval,Java_io_github_alexanderschuetz97_nativeutils_impl_JNILinuxNativeUtil_if_1nameindex,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/linux/if.c,if.c
CS6,LocalReferencesAbuse,obj,jnew_Win32FileAttributeData,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS7,LocalReferencesAbuse,obj,jthrow_IllegalStateException_1,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS8,LocalReferencesAbuse,obj,jthrow_Exception_3,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS9,LocalReferencesAbuse,obj,jthrow_QuotaExceededException_1,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS10,LocalReferencesAbuse,obj,jthrow_IllegalArgumentException_1,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS11,LocalReferencesAbuse,obj,jthrow_NullPointerException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS12,LocalReferencesAbuse,obj,jnew_ArrayList,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS13,LocalReferencesAbuse,obj,jthrow_InvalidFileDescriptorException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS14,LocalReferencesAbuse,obj,jnew_Msghdr_4,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS15,LocalReferencesAbuse,obj,jthrow_FileAlreadyExistsException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
CS16,LocalReferencesAbuse,obj,jthrow_QuotaExceededException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects11/JavaNativeUtils-master/src/main/native/common/jnigenerator.c,jnigenerator.c
