ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingRelativePath,"echo",,MainActivity,com.google.sample.echo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/audio-echo/src/main/java/com/google/sample/echo/MainActivity.java,MainActivity.java
CS2,NotUsingRelativePath,"accelerometergraph",,AccelerometerGraphJNI,com.android.accelerometergraph,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/sensor-graph/src/main/java/com/android/accelerometergraph/AccelerometerGraphJNI.java,AccelerometerGraphJNI.java
CS3,NotUsingRelativePath,"gles3jni",,GLES3JNILib,com.android.gles3jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/gles3jni/src/main/java/com/android/gles3jni/GLES3JNILib.java,GLES3JNILib.java
CS4,NotUsingRelativePath,"native-audio-jni",,NativeAudio,com.example.nativeaudio,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-audio/src/main/java/com/example/nativeaudio/NativeAudio.java,NativeAudio.java
CS5,NotUsingRelativePath,"native-lib",,MainActivity,com.example.ndk,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/app/src/main/java/com/example/ndk/MainActivity.java,MainActivity.java
CS6,NotUsingRelativePath,"plasma",,Plasma,com.example.plasma,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/bitmap-plasma/src/main/java/com/example/plasma/Plasma.java,Plasma.java
CS7,NotUsingRelativePath,"hello-jni",,HelloJni,com.example.hellojni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jni/src/main/java/com/example/hellojni/HelloJni.java,HelloJni.java
CS8,NotUsingRelativePath,"native-codec-jni",,NativeCodec,com.example.nativecodec,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-codec/src/main/java/com/example/nativecodec/NativeCodec.java,NativeCodec.java
CS9,NotUsingRelativePath,"native-media-jni",,NativeMedia,com.example.nativemedia,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/java/com/example/nativemedia/NativeMedia.java,NativeMedia.java
CS10,NotUsingRelativePath,"ChoreographerNativeActivity",,ChoreographerNativeActivity,com.sample.choreographer,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/choreographer-30fps/src/main/java/com/sample/choreographer/ChoreographerNativeActivity.java,ChoreographerNativeActivity.java
CS11,NotUsingRelativePath,"hello-jnicallback",,MainActivity,com.example.hellojnicallback,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/java/com/example/hellojnicallback/MainActivity.java,MainActivity.java
CS12,NotUsingRelativePath,"hello-libs",,MainActivity,com.example.hellolibs,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-libs/src/main/java/com/example/hellolibs/MainActivity.java,MainActivity.java
CS13,NotUsingRelativePath,"nn_sample",,MainActivity,com.example.android.nnapidemo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/nn_sample/src/main/java/com/example/android/nnapidemo/MainActivity.java,MainActivity.java
CS14,NotUsingRelativePath,"ndk_camera",,CameraActivity,com.sample.camera.basic,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/java/com/sample/camera/basic/CameraActivity.java,CameraActivity.java
CS15,NotUsingRelativePath,"camera_textureview",,ViewActivity,com.sample.textureview,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/java/com/sample/textureview/ViewActivity.java,ViewActivity.java
CS16,NotUsingRelativePath,"hello-neon",,HelloNeon,com.example.helloneon,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-neno/src/main/java/com/example/helloneon/HelloNeon.java,HelloNeon.java
CS17,NotUsingRelativePath,"gl2jni",,GL2JNILib,com.android.gl2jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-gl2/src/main/java/com/android/gl2jni/GL2JNILib.java,GL2JNILib.java
CS18,NotUsingRelativePath,"sanangeles",,DemoActivity,com.example.SanAngeles,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/san-angeles/src/main/java/com/example/SanAngeles/DemoActivity.java,DemoActivity.java
