ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,hlBeginFrame,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS2,UnusedImplementationDetectio,,hdScheduleSynchronous,HDAPI,com.uce.userlab.haptics.HD,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HD/HDAPI.java,HDAPI.java
CS3,UnusedImplementationDetectio,,hlGetShapeDoublev,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS4,UnusedImplementationDetectio,,hlTouchableFace,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS5,UnusedImplementationDetectio,,hdlDeviceModel,HDAL,com.bcu.userlab.haptics.HDAL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HDAL/HDAL.java,HDAL.java
CS6,UnusedImplementationDetectio,,hdlDestroyServoOp,HDAL,com.bcu.userlab.haptics.HDAL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HDAL/HDAL.java,HDAL.java
CS7,UnusedImplementationDetectio,,hdWaitForCompletion,HDAPI,com.uce.userlab.haptics.HD,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HD/HDAPI.java,HDAPI.java
CS8,UnusedImplementationDetectio,,hlLocalFeature2dv,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS9,UnusedImplementationDetectio,,hlDeleteContext,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS10,UnusedImplementationDetectio,,hlLocalFeature2fv,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS11,UnusedImplementationDetectio,,hlTriggerEffect,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS12,UnusedImplementationDetectio,,hlEffectiv,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS13,UnusedImplementationDetectio,,hlRotated,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS14,UnusedImplementationDetectio,,hlGenEffects,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
CS15,UnusedImplementationDetectio,,hlCreateContext,HLAPI,com.uce.userlab.haptics.HL,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/uce/userlab/haptics/HL/HLAPI.java,HLAPI.java
