ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,getRcvSwitchRelayErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS2,UnusedImplementationDetectio,,getGitBranch,NativeBuildConfig,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/NativeBuildConfig.java,NativeBuildConfig.java
CS3,UnusedImplementationDetectio,,refreshCounters,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS4,UnusedImplementationDetectio,,getUnicastRcvPkts,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS5,UnusedImplementationDetectio,,getMulticastRcvPkts,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS6,UnusedImplementationDetectio,,getLinkDownedCounter,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS7,UnusedImplementationDetectio,,getBuildDate,NativeBuildConfig,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/NativeBuildConfig.java,NativeBuildConfig.java
CS8,UnusedImplementationDetectio,,getRcvConstraintErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS9,UnusedImplementationDetectio,,getXmitDiscards,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS10,UnusedImplementationDetectio,,getExcessiveBufferOverrunErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS11,UnusedImplementationDetectio,,getMulticastXmitPkts,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS12,UnusedImplementationDetectio,,getXmitDataBytes,IbNode,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbNode.java,IbNode.java
CS13,UnusedImplementationDetectio,,getRcvErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS14,UnusedImplementationDetectio,,getGitRevision,NativeBuildConfig,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/NativeBuildConfig.java,NativeBuildConfig.java
CS15,UnusedImplementationDetectio,,getXmitPkts,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS16,UnusedImplementationDetectio,,getRcvRemotePhysicalErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS17,UnusedImplementationDetectio,,getRcvDataBytes,IbNode,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbNode.java,IbNode.java
CS18,UnusedImplementationDetectio,,getXmitConstraintErrors,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS19,UnusedImplementationDetectio,,getLinkRecoveryCounter,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
CS20,UnusedImplementationDetectio,,getVL15Dropped,IbPort,de.hhu.bsinfo.jdetector.lib,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/java/de/hhu/bsinfo/jdetector/lib/IbPort.java,IbPort.java
