,EILC,,TMS,,TMS,,UNMD,,UNMI,,UP,,ASMRV,
Filename,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall
ADI-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
android-tree-sitter-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Android-Zbar-JNI-Example-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AndroidDevWithCpp-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AndroidJNIDemo-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Break_it_all-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dedekind-MKL-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DevSlashLirc-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
extension_sdk_demo-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
faiss-center-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FumoCement-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gdal-warp-bindings-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GrandPlan-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hello-jniCallback-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Intel_SGX_Proj-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ipc-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
janot-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JavaCAN-javacan-1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JavaCAN-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JavaNativeUtils-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jazzer-0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jdetector-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jni_examples-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jni-bind-Release-0.1.0-alpha,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JniDemo-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JNIHelper-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jogg-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jopus-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jpa-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jpegkit-android-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jpostal-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JTouchToolkit-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jzorba-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
leveldbjni-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
libhpdf-AndroidLibrary-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LibOQSTestApp-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
libpulse-android-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
libv4l2-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LimeLight-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ndk-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ndk-someiplib-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
neutrino-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
of_core_jni-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
openssl4j-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PYJA-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RajawaliAssimpBridge-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RajawaliTollBridge-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RobotPathfinder-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rtlsdrj-main,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rustjblas-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SDL2-Ndk-Opengles-SampleApp-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sdljoystick4java-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SoundTouch4Android-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VideoEffectRendering-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
webrtc-java-0.2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
webrtc-java-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wolfcrypt-jni-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wolfssljni-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zmq-jni-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zstd-jni-master,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AVERAGE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
