ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,JNI_EXCEPTION,JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS2,AssumingSafeMultiLanguageReturnValues,"java/lang/ClassLoader",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS3,AssumingSafeMultiLanguageReturnValues,"cipherTextLength",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"cipherTextLength",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS5,AssumingSafeMultiLanguageReturnValues,"com/panda912/jnidemo/crypto/Crypto$Cipher",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"com/panda912/jnidemo/crypto/Crypto$Cipher",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS7,AssumingSafeMultiLanguageReturnValues,"cipherText",Java_com_panda912_jnidemo_crypto_Crypto_decryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"getClassLoader",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
CS9,AssumingSafeMultiLanguageReturnValues,"cipherText",Java_com_panda912_jnidemo_crypto_Crypto_encryptAES,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/jni/crypto/crypto.cpp,crypto.cpp
CS10,AssumingSafeMultiLanguageReturnValues,"findClass",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JniDemo-master/app/src/main/cpp/native-lib.cpp,native-lib.cpp
