ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,kRecordingFuzzedDataProviderClass,SerializeRecordingFuzzedDataProvider,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS2,AssumingSafeMultiLanguageReturnValues,kRecordingFuzzedDataProviderClass,GetRecordingFuzzedDataProviderJavaObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS3,AssumingSafeMultiLanguageReturnValues,"test.ModifiedUtf8Encoder",,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider_test.cpp,fuzzed_data_provider_test.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"test.PropertyPrinter",,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/jvm_tooling_test.cpp,jvm_tooling_test.cpp
CS5,AssumingSafeMultiLanguageReturnValues,kFuzzedDataProviderImplClass,GetFuzzedDataProviderJavaObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"<init>",GetFuzzedDataProviderJavaObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS7,AssumingSafeMultiLanguageReturnValues,"makeFuzzedDataProviderProxy",GetRecordingFuzzedDataProviderJavaObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"serializeFuzzedDataProviderProxy",SerializeRecordingFuzzedDataProvider,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider.cpp,fuzzed_data_provider.cpp
CS9,AssumingSafeMultiLanguageReturnValues,"encode",,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/fuzzed_data_provider_test.cpp,fuzzed_data_provider_test.cpp
CS10,AssumingSafeMultiLanguageReturnValues,"java.lang.IllegalArgumentException",TriggerJvmException,ExceptionPrinterTest,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/jvm_tooling_test.cpp,jvm_tooling_test.cpp
CS11,AssumingSafeMultiLanguageReturnValues,"printProperty",,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/jvm_tooling_test.cpp,jvm_tooling_test.cpp
