ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"<init>",Java_de_hhu_bsinfo_jdetector_lib_IbDiagPerfCounter_getLocalPorts,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbDiagPerfCounter.cpp,IbDiagPerfCounter.cpp
CS2,AssumingSafeMultiLanguageReturnValues,"J",getNativeHandle,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/Common.h,Common.h
CS3,AssumingSafeMultiLanguageReturnValues,"de/hhu/bsinfo/jdetector/lib/IbPort",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"de/hhu/bsinfo/jdetector/lib/IbFabric",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
CS5,AssumingSafeMultiLanguageReturnValues,"m_ports",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"J",setNativeHandle,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/Common.h,Common.h
CS7,AssumingSafeMultiLanguageReturnValues,"<init>",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"m_nodes",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
CS9,AssumingSafeMultiLanguageReturnValues,"Native handle is not initialized!",throwUninitializedHandleException,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/Common.cpp,Common.cpp
CS10,AssumingSafeMultiLanguageReturnValues,"de/hhu/bsinfo/jdetector/lib/IbNode",Java_de_hhu_bsinfo_jdetector_lib_IbFabric_init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects8/jdetector-master/src/main/cpp/detector-jni/IbFabric.cpp,IbFabric.cpp
