ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"srcPos",Java_com_github_luben_zstd_ZstdInputStreamNoFinalizer_initDStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS2,AssumingSafeMultiLanguageReturnValues,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS3,AssumingSafeMultiLanguageReturnValues,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithDict,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS4,AssumingSafeMultiLanguageReturnValues,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStreamNoFinalizer_initDStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS5,AssumingSafeMultiLanguageReturnValues,"dstPos",Java_com_github_luben_zstd_ZstdInputStreamNoFinalizer_initDStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS6,AssumingSafeMultiLanguageReturnValues,"srcPos",Java_com_github_luben_zstd_ZstdOutputStreamNoFinalizer_resetCStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS7,AssumingSafeMultiLanguageReturnValues,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithFastDict,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS8,AssumingSafeMultiLanguageReturnValues,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithFastDict,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS9,AssumingSafeMultiLanguageReturnValues,"nativePtr",Java_com_github_luben_zstd_Zstd_loadFastDictDecompress,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_zstd.c,jni_zstd.c
CS10,AssumingSafeMultiLanguageReturnValues,"dstPos",Java_com_github_luben_zstd_ZstdOutputStreamNoFinalizer_resetCStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS11,AssumingSafeMultiLanguageReturnValues,"Ljava/lang/OutOfMemoryError;",Java_com_github_luben_zstd_Zstd_trainFromBufferDirect,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_zdict.c,jni_zdict.c
CS12,AssumingSafeMultiLanguageReturnValues,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS13,AssumingSafeMultiLanguageReturnValues,"Ljava/lang/OutOfMemoryError;",Java_com_github_luben_zstd_Zstd_trainFromBuffer,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_zdict.c,jni_zdict.c
CS14,AssumingSafeMultiLanguageReturnValues,"nativePtr",Java_com_github_luben_zstd_Zstd_loadFastDictCompress,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_zstd.c,jni_zstd.c
CS15,AssumingSafeMultiLanguageReturnValues,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithDict,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS16,AssumingSafeMultiLanguageReturnValues,"nativePtr",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStreamNoFinalizer_initCStreamWithFastDict,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS17,AssumingSafeMultiLanguageReturnValues,"produced",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStreamNoFinalizer_initDStream,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
