ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotSecuringLibraries,"echo",,MainActivity,com.google.sample.echo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/audio-echo/src/main/java/com/google/sample/echo/MainActivity.java,MainActivity.java
CS2,NotSecuringLibraries,"accelerometergraph",,AccelerometerGraphJNI,com.android.accelerometergraph,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/sensor-graph/src/main/java/com/android/accelerometergraph/AccelerometerGraphJNI.java,AccelerometerGraphJNI.java
CS3,NotSecuringLibraries,soname,loadLibrary,NDKHelper,com.sample.helper,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/choreographer-30fps/src/main/java/com/sample/helper/NDKHelper.java,NDKHelper.java
CS4,NotSecuringLibraries,"gles3jni",,GLES3JNILib,com.android.gles3jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/gles3jni/src/main/java/com/android/gles3jni/GLES3JNILib.java,GLES3JNILib.java
CS5,NotSecuringLibraries,"native-audio-jni",,NativeAudio,com.example.nativeaudio,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-audio/src/main/java/com/example/nativeaudio/NativeAudio.java,NativeAudio.java
CS6,NotSecuringLibraries,"native-lib",,MainActivity,com.example.ndk,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/app/src/main/java/com/example/ndk/MainActivity.java,MainActivity.java
CS7,NotSecuringLibraries,"plasma",,Plasma,com.example.plasma,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/bitmap-plasma/src/main/java/com/example/plasma/Plasma.java,Plasma.java
CS8,NotSecuringLibraries,"hello-jni",,HelloJni,com.example.hellojni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jni/src/main/java/com/example/hellojni/HelloJni.java,HelloJni.java
CS9,NotSecuringLibraries,"native-codec-jni",,NativeCodec,com.example.nativecodec,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-codec/src/main/java/com/example/nativecodec/NativeCodec.java,NativeCodec.java
CS10,NotSecuringLibraries,"native-media-jni",,NativeMedia,com.example.nativemedia,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/java/com/example/nativemedia/NativeMedia.java,NativeMedia.java
CS11,NotSecuringLibraries,"ChoreographerNativeActivity",,ChoreographerNativeActivity,com.sample.choreographer,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/choreographer-30fps/src/main/java/com/sample/choreographer/ChoreographerNativeActivity.java,ChoreographerNativeActivity.java
CS12,NotSecuringLibraries,"hello-jnicallback",,MainActivity,com.example.hellojnicallback,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/java/com/example/hellojnicallback/MainActivity.java,MainActivity.java
CS13,NotSecuringLibraries,"hello-libs",,MainActivity,com.example.hellolibs,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-libs/src/main/java/com/example/hellolibs/MainActivity.java,MainActivity.java
CS14,NotSecuringLibraries,"nn_sample",,MainActivity,com.example.android.nnapidemo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/nn_sample/src/main/java/com/example/android/nnapidemo/MainActivity.java,MainActivity.java
CS15,NotSecuringLibraries,"ndk_camera",,CameraActivity,com.sample.camera.basic,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/java/com/sample/camera/basic/CameraActivity.java,CameraActivity.java
CS16,NotSecuringLibraries,"camera_textureview",,ViewActivity,com.sample.textureview,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/java/com/sample/textureview/ViewActivity.java,ViewActivity.java
CS17,NotSecuringLibraries,"hello-neon",,HelloNeon,com.example.helloneon,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-neno/src/main/java/com/example/helloneon/HelloNeon.java,HelloNeon.java
CS18,NotSecuringLibraries,"gl2jni",,GL2JNILib,com.android.gl2jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-gl2/src/main/java/com/android/gl2jni/GL2JNILib.java,GL2JNILib.java
CS19,NotSecuringLibraries,"sanangeles",,DemoActivity,com.example.SanAngeles,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/san-angeles/src/main/java/com/example/SanAngeles/DemoActivity.java,DemoActivity.java
