ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedDeclaration,,SSLv23_Method,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS2,UnusedDeclaration,,TLSv1_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS3,UnusedDeclaration,,isTLSv1_1,WolfSSLSession,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLSession.java,WolfSSLSession.java
CS4,UnusedDeclaration,,X509_load_certificate_file,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS5,UnusedDeclaration,,SSLv23_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS6,UnusedDeclaration,,X509_notBefore,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS7,UnusedDeclaration,,DTLSv1_2_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS8,UnusedDeclaration,,X509_get_pubkey,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS9,UnusedDeclaration,,DTLSv1_2_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS10,UnusedDeclaration,,TLSv1_Method,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS11,UnusedDeclaration,,TLSv1_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS12,UnusedDeclaration,,X509_get_pubkey_type,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS13,UnusedDeclaration,,X509_get_der,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS14,UnusedDeclaration,,TLSv1_3_Method,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS15,UnusedDeclaration,,X509_get_tbs,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS16,UnusedDeclaration,,X509_print,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS17,UnusedDeclaration,,DTLSv1_Method,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS18,UnusedDeclaration,,X509_verify,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS19,UnusedDeclaration,,X509_get_serial_number,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS20,UnusedDeclaration,,X509_notAfter,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS21,UnusedDeclaration,,X509_STORE_CTX_getDerCerts,WolfSSLX509StoreCtx,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLX509StoreCtx.java,WolfSSLX509StoreCtx.java
CS22,UnusedDeclaration,,TLSv1_1_Method,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS23,UnusedDeclaration,,X509_get_subject_name,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS24,UnusedDeclaration,,DTLSv1_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS25,UnusedDeclaration,,X509_get_extension,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS26,UnusedDeclaration,,TLSv1_2_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS27,UnusedDeclaration,,X509_version,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS28,UnusedDeclaration,,X509_get_signature_OID,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS29,UnusedDeclaration,,X509_free,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS30,UnusedDeclaration,,SSLv3_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS31,UnusedDeclaration,,DTLSv1_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS32,UnusedDeclaration,,X509_get_signature,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS33,UnusedDeclaration,,X509_get_pathLength,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS34,UnusedDeclaration,,X509_get_signature_type,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS35,UnusedDeclaration,,X509_get_issuer_name,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS36,UnusedDeclaration,,X509_get_isCA,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
CS37,UnusedDeclaration,,TLSv1_1_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS38,UnusedDeclaration,,TLSv1_1_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS39,UnusedDeclaration,,SSLv3_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS40,UnusedDeclaration,,TLSv1_2_ClientMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS41,UnusedDeclaration,,SSLv23_ServerMethod,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS42,UnusedDeclaration,,X509_get_next_altname,WolfSSLCertificate,com.wolfssl,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/WolfSSLCertificate.java,WolfSSLCertificate.java
