ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementation,,closePath,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS2,UnusedImplementation,,beginText,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS3,UnusedImplementation,,ellipse,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS4,UnusedImplementation,,endText,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS5,UnusedImplementation,,fillStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS6,UnusedImplementation,,fill,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS7,UnusedImplementation,,showText,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS8,UnusedImplementation,,moveToNextLine,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS9,UnusedImplementation,,setRGBFill,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS10,UnusedImplementation,,drawPngImageFromFile,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS11,UnusedImplementation,,setCMYKFill,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS12,UnusedImplementation,,textOut,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS13,UnusedImplementation,,freeDoc,PdfDocument,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfDocument.java,PdfDocument.java
CS14,UnusedImplementation,,setTextLeading,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS15,UnusedImplementation,,showTextNextLineEx,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS16,UnusedImplementation,,clip,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS17,UnusedImplementation,,rectangle,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS18,UnusedImplementation,,getLineWidth,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS19,UnusedImplementation,,freeDocAll,PdfDocument,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfDocument.java,PdfDocument.java
CS20,UnusedImplementation,,eofillStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS21,UnusedImplementation,,setWidth,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS22,UnusedImplementation,,setGrayFill,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS23,UnusedImplementation,,eoclip,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS24,UnusedImplementation,,endPath,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS25,UnusedImplementation,,eofill,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS26,UnusedImplementation,,curveTo2,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS27,UnusedImplementation,,setHeight,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS28,UnusedImplementation,,moveTextPos2,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS29,UnusedImplementation,,closePathStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS30,UnusedImplementation,,showTextNextLine,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS31,UnusedImplementation,,setCMYKStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS32,UnusedImplementation,,drawJpegImage,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS33,UnusedImplementation,,drawJpegImageFromFile,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS34,UnusedImplementation,,setHorizontalScaling,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS35,UnusedImplementation,,hasDoc,PdfDocument,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfDocument.java,PdfDocument.java
CS36,UnusedImplementation,,setTextWordSpace,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS37,UnusedImplementation,,setGrayStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS38,UnusedImplementation,,setMiterLimit,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS39,UnusedImplementation,,curveTo3,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS40,UnusedImplementation,,gSave,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS41,UnusedImplementation,,setTextRise,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS42,UnusedImplementation,,setCharSpace,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS43,UnusedImplementation,,moveTextPos,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS44,UnusedImplementation,,concat,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS45,UnusedImplementation,,curveTo,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS46,UnusedImplementation,,closePathFillStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS47,UnusedImplementation,,gRestore,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
CS48,UnusedImplementation,,closePathEofillStroke,PdfPage,org.libharu,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libhpdf-AndroidLibrary-master/library/src/org/libharu/PdfPage.java,PdfPage.java
