ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementation,,getSourceInfo,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS2,UnusedImplementation,,getSinkInfoList,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS3,UnusedImplementation,,setReadCallback,Stream,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/Stream.java,Stream.java
CS4,UnusedImplementation,,getMax,Volume,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/Volume.java,Volume.java
CS5,UnusedImplementation,,connect,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS6,UnusedImplementation,,getSourceInfoList,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS7,UnusedImplementation,,getSinkInputInfo,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS8,UnusedImplementation,,getClientInfo,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS9,UnusedImplementation,,getSourceOutputInfoList,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS10,UnusedImplementation,,getSourceOutputInfo,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS11,UnusedImplementation,,getClientInfoList,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS12,UnusedImplementation,,setConnectionFailedCallback,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS13,UnusedImplementation,,getSinkInfo,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
CS14,UnusedImplementation,,getSinkInputInfoList,PulseContext,com.harrcharr.pulse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/libpulse-android-master/src/main/java/com/harrcharr/pulse/PulseContext.java,PulseContext.java
