ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,address,JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS2,UnusedParameters,context,start,ADIManager,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIManager.java,ADIManager.java
CS3,UnusedParameters,mode,IOInfoCollector::OnOpen,,iocanary,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/core/io_info_collector.cc,io_info_collector.cc
CS4,UnusedParameters,context,init,ADIManager,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIManager.java,ADIManager.java
CS5,UnusedParameters,new_address_ptr,JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS6,UnusedParameters,event,addEvent,ADIConfig,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIConfig.java,ADIConfig.java
CS7,UnusedParameters,ms,setSampleInterval,ADIConfig,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIConfig.java,ADIConfig.java
CS8,UnusedParameters,was_popped_by_exception,FramePop,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/handler/FramePopHandler.cpp,FramePopHandler.cpp
CS9,UnusedParameters,config,start,ADIManager,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIManager.java,ADIManager.java
CS10,UnusedParameters,thread,createMonitorInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/handler/MonitorContendedHandler.cpp,MonitorContendedHandler.cpp
CS11,UnusedParameters,method,createMethodInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/handler/MethodEntryHandler.cpp,MethodEntryHandler.cpp
CS12,UnusedParameters,method,JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS13,UnusedParameters,stackDepth,setStackDepth,ADIConfig,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIConfig.java,ADIConfig.java
CS14,UnusedParameters,thread,JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS15,UnusedParameters,thread,createMethodInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/handler/MethodEntryHandler.cpp,MethodEntryHandler.cpp
CS16,UnusedParameters,reserved,Agent_OnAttach,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS17,UnusedParameters,object,createBaseInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/handler/VMObjectAllocHandler.cpp,VMObjectAllocHandler.cpp
CS18,UnusedParameters,obj,getObjSize,ADIManager,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIManager.java,ADIManager.java
CS19,UnusedParameters,type,setEventType,ADIConfig,com.adi,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi-nop/src/main/java/com/adi/ADIConfig.java,ADIConfig.java
CS20,UnusedParameters,str,publicStaticMethod,DemoObject2,com.adi.demo,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi_sample/src/main/java/com/adi/demo/DemoObject2.java,DemoObject2.java
