ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,n,cp1252_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/cp1252.h,cp1252.h
CS2,UnusedParameters,n,cp1129_mbtowc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/cp1129.h,cp1129.h
CS3,UnusedParameters,unused,_zbar_window_attach,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/zbar/zbar/window/win.c,win.c
CS4,UnusedParameters,cur_edge,zbar_scanner_get_state,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/zbar/zbar/scanner.c,scanner.c
CS5,UnusedParameters,n,iso8859_10_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/iso8859_10.h,iso8859_10.h
CS6,UnusedParameters,n,cp862_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/cp862.h,cp862.h
CS7,UnusedParameters,win,_zbar_window_attach,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/zbar/zbar/window/null.c,null.c
CS8,UnusedParameters,n,cp1253_mbtowc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/cp1253.h,cp1253.h
CS9,UnusedParameters,n,iso8859_7_mbtowc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/iso8859_7.h,iso8859_7.h
CS10,UnusedParameters,data,subst_mb_to_uc_fallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/src/iconv.c,iconv.c
CS11,UnusedParameters,n,iso8859_11_mbtowc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/iso8859_11.h,iso8859_11.h
CS12,UnusedParameters,n,riscos1_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/riscos1.h,riscos1.h
CS13,UnusedParameters,n,atarist_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/atarist.h,atarist.h
CS14,UnusedParameters,n,mac_turkish_wctomb,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/Android-Zbar-JNI-Example-master/app/src/main/jni/iconv/lib/mac_turkish.h,mac_turkish.h
