ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,s,getUpdatePoints,Pay,com.bb_sz.pay,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/pay/Pay.java,Pay.java
CS2,UnusedParameters,methos,getHttpData,Jni,com.bb_sz.jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/jni/Jni.java,Jni.java
CS3,UnusedParameters,permissions,onRequestPermissionsResult,PermissionUtil,com.example.hello_jnicallback,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkHttp/src/main/java/com/example/hello_jnicallback/PermissionUtil.java,PermissionUtil.java
CS4,UnusedParameters,type,downFailed,OTUtil,com.bb_sz.ndk,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkShell_a/src/main/java/com/bb_sz/ndk/OTUtil.java,OTUtil.java
CS5,UnusedParameters,context,onReceive,InstallReceiver,com.bb_sz.ndk,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkShell_a/src/main/java/com/bb_sz/ndk/InstallReceiver.java,InstallReceiver.java
CS6,UnusedParameters,url,getHttpData,Jni,com.bb_sz.jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/jni/Jni.java,Jni.java
CS7,UnusedParameters,path,downFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkHttp/src/main/jni/socket.c,socket.c
CS8,UnusedParameters,fileName,downFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkHttp/src/main/jni/socket.c,socket.c
CS9,UnusedParameters,key,getParams,JniUtil,com.bb_sz.jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/jni/JniUtil.java,JniUtil.java
CS10,UnusedParameters,context,Java_com_bb_1sz_ndk_JNI_httpReq,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkAd/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS11,UnusedParameters,param,getHttpData,Jni,com.bb_sz.jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/jni/Jni.java,Jni.java
CS12,UnusedParameters,goodDes,pay,Pay,com.bb_sz.pay,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/pay/Pay.java,Pay.java
CS13,UnusedParameters,i,getUpdatePoints,Pay,com.bb_sz.pay,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/pay/Pay.java,Pay.java
CS14,UnusedParameters,s,getUpdatePointsFailed,Pay,com.bb_sz.pay,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/java/com/bb_sz/pay/Pay.java,Pay.java
