ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,maxLength,consumeInts,CannedFuzzedDataProvider,com.code_intelligence.jazzer.api,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/main/java/com/code_intelligence/jazzer/api/CannedFuzzedDataProvider.java,CannedFuzzedDataProvider.java
CS2,UnusedParameters,thisObject,invalidReplaceHook2,InvalidHookMocks,com.code_intelligence.jazzer.instrumentor,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/test/java/com/code_intelligence/jazzer/instrumentor/InvalidHookMocks.java,InvalidHookMocks.java
CS3,UnusedParameters,arguments,patchAbstractListGet,ReplaceHooks,com.code_intelligence.jazzer.instrumentor,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/test/java/com/code_intelligence/jazzer/instrumentor/ReplaceHooks.java,ReplaceHooks.java
CS4,UnusedParameters,method,indexOf,TraceCmpHooks,com.code_intelligence.jazzer.runtime,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/main/java/com/code_intelligence/jazzer/runtime/TraceCmpHooks.java,TraceCmpHooks.java
CS5,UnusedParameters,method,patchShouldReturnTrue1,ReplaceHooks,com.code_intelligence.jazzer.instrumentor,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/test/java/com/code_intelligence/jazzer/instrumentor/ReplaceHooks.java,ReplaceHooks.java
CS6,UnusedParameters,method,longCompareTo,TraceCmpHooks,com.code_intelligence.jazzer.runtime,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/main/java/com/code_intelligence/jazzer/runtime/TraceCmpHooks.java,TraceCmpHooks.java
CS7,UnusedParameters,s2,__sanitizer_weak_hook_strcmp,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/driver/sanitizer_symbols_for_tests.cpp,sanitizer_symbols_for_tests.cpp
CS8,UnusedParameters,stringArgument,hasFuncWithArgsBeenCalled,BeforeHooksTarget,com.code_intelligence.jazzer.instrumentor,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/test/java/com/code_intelligence/jazzer/instrumentor/BeforeHooksTarget.java,BeforeHooksTarget.java
CS9,UnusedParameters,hookId,validReplaceHook2,ValidHookMocks,com.code_intelligence.jazzer.instrumentor,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/test/java/com/code_intelligence/jazzer/instrumentor/ValidHookMocks.java,ValidHookMocks.java
CS10,UnusedParameters,maxLength,consumeAsciiString,CannedFuzzedDataProvider,com.code_intelligence.jazzer.api,/home/shahrukh/smellDetection/Detection/projects/projects/projects9/jazzer-0.9/agent/src/main/java/com/code_intelligence/jazzer/api/CannedFuzzedDataProvider.java,CannedFuzzedDataProvider.java
