ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,arg0,engineInit,WolfSSLKeyManager,com.wolfssl.provider.jsse,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/java/com/wolfssl/provider/jsse/WolfSSLKeyManager.java,WolfSSLKeyManager.java
CS2,UnusedParameters,keyMaxLen,pskServerCallback,MyPskServerCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyPskServerCallback.java,MyPskServerCallback.java
CS3,UnusedParameters,ssl,genCookieCallback,MyGenCookieCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyGenCookieCallback.java,MyGenCookieCallback.java
CS4,UnusedParameters,keyMaxLen,pskClientCallback,MyPskClientCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyPskClientCallback.java,MyPskClientCallback.java
CS5,UnusedParameters,ssl,pskServerCallback,WolfSSLContextTest,com.wolfssl.test,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/test/com/wolfssl/test/WolfSSLContextTest.java,WolfSSLContextTest.java
CS6,UnusedParameters,keyMaxLen,pskServerCallback,WolfSSLSessionTest,com.wolfssl.test,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/src/test/com/wolfssl/test/WolfSSLSessionTest.java,WolfSSLSessionTest.java
CS7,UnusedParameters,ssl,sendCallback,MySendCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MySendCallback.java,MySendCallback.java
CS8,UnusedParameters,idMaxLen,pskClientCallback,MyPskClientCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyPskClientCallback.java,MyPskClientCallback.java
CS9,UnusedParameters,ssl,eccSignCallback,MyEccSignCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyEccSignCallback.java,MyEccSignCallback.java
CS10,UnusedParameters,ssl,pskClientCallback,MyPskClientCallback,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/wolfssljni-master/examples/MyPskClientCallback.java,MyPskClientCallback.java
