ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"getJavaContext",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS2,NotHandlingExceptions,"com/tencent/matrix/iocanary/core/IOIssue",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS3,NotHandlingExceptions,"com/adi/ADIManager",JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS4,NotHandlingExceptions,"threadName",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS5,NotHandlingExceptions,"onIssuePublish",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS6,NotHandlingExceptions,"stackDepth",enableEvents,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS7,NotHandlingExceptions,"com/tencent/matrix/iocanary/core/IOCanaryJniBridge",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS8,NotHandlingExceptions,"add",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS9,NotHandlingExceptions,"com/adi/ADIManager",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS10,NotHandlingExceptions,"com/tencent/matrix/iocanary/core/IOCanaryJniBridge$JavaContext",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS11,NotHandlingExceptions,"<init>",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS12,NotHandlingExceptions,"packageCodePath",JvmTINativeMethodBind,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS13,NotHandlingExceptions,"sampleIntervalMs",enableEvents,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/adi/src/main/cpp/adi.cpp,adi.cpp
CS14,NotHandlingExceptions,"java/util/ArrayList",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
CS15,NotHandlingExceptions,"stack",InitJniEnv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/ADI-master/adi_lib/matrix-io-canary/src/main/cpp/io_canary_jni.cc,io_canary_jni.cc
