ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"defaultInputDevice",toHostApiInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS2,NotHandlingExceptions,"input",Java_com_github_rjeschke_jpa_JPA_dataAlloc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS3,NotHandlingExceptions,"maxOutputChannels",toPaDeviceInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS4,NotHandlingExceptions,"hostApiType",toHostErrorInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS5,NotHandlingExceptions,"com/github/rjeschke/jpa/PaStreamInfo",toStreamInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS6,NotHandlingExceptions,"defaultOutputDevice",toHostApiInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS7,NotHandlingExceptions,"deviceCount",toHostApiInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS8,NotHandlingExceptions,"defaultLowInputLatency",toPaDeviceInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS9,NotHandlingExceptions,"<init>",toHostErrorInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS10,NotHandlingExceptions,"com/github/rjeschke/jpa/JPA",jpaStreamCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
CS11,NotHandlingExceptions,"errorText",toHostErrorInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects1/jpa-master/src/main/native/jpa.c,jpa.c
