ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,strMethodName,JNIHelper::CallBooleanMethod,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS2,NotHandlingExceptions,"getRuntimeMemorySize",queryRuntimeInfo,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS3,NotHandlingExceptions,"updateStatus",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS4,NotHandlingExceptions,"getExternalFilesDir",JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS5,NotHandlingExceptions,"getPath",JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS6,NotHandlingExceptions,"updateTimer",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS7,NotHandlingExceptions,"loadLibrary",JNIHelper::Init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS8,NotHandlingExceptions,"OnPhotoTaken",CameraEngine::OnPhotoTaken,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/cpp/camera_ui.cpp,camera_ui.cpp
CS9,NotHandlingExceptions,"<init>",JNIHelper::ConvertString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS10,NotHandlingExceptions,"toString",Java_com_sample_textureview_ViewActivity_onPreviewSurfaceDestroyed,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/cpp/android_main.cpp,android_main.cpp
CS11,NotHandlingExceptions,NATIVEACTIVITY_CLASS_NAME,JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS12,NotHandlingExceptions,"originalHeight",JNIHelper::LoadTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS13,NotHandlingExceptions,"EnableRenderUI",ImageViewEngine::EnableRenderUI,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/display-p3/src/main/cpp/InputEventHandler.cpp,InputEventHandler.cpp
CS14,NotHandlingExceptions,"java/io/File",JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS15,NotHandlingExceptions,strMethodName,JNIHelper::CallVoidMethod,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS16,NotHandlingExceptions,"RequestCamera",CameraEngine::RequestCameraPermission,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/cpp/camera_engine.cpp,camera_engine.cpp
