ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,getInterfaces,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS2,UnusedImplementationDetectio,,statsHeap,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS3,UnusedImplementationDetectio,,write,FileSystem,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/FileSystem.java,FileSystem.java
CS4,UnusedImplementationDetectio,,getInterfaceDiscovery,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS5,UnusedImplementationDetectio,,getRootDir,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS6,UnusedImplementationDetectio,,getMaps,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS7,UnusedImplementationDetectio,,dumpHeap,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS8,UnusedImplementationDetectio,,update,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS9,UnusedImplementationDetectio,,removeMap,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS10,UnusedImplementationDetectio,,setLMB,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS11,UnusedImplementationDetectio,,println,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS12,UnusedImplementationDetectio,,setUUID,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS13,UnusedImplementationDetectio,,save,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS14,UnusedImplementationDetectio,,getDescription,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS15,UnusedImplementationDetectio,,getUUID,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS16,UnusedImplementationDetectio,,setInterfaceDiscovery,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS17,UnusedImplementationDetectio,,addMap,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS18,UnusedImplementationDetectio,,getHostname,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS19,UnusedImplementationDetectio,,addInterface,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS20,UnusedImplementationDetectio,,setHostname,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS21,UnusedImplementationDetectio,,removeInterface,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS22,UnusedImplementationDetectio,,getWorkgroup,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
CS23,UnusedImplementationDetectio,,setInterfaceFilter,Framework,com.connectedway.io,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/java/com/connectedway/io/Framework.java,Framework.java
