ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotSecuringLibraries,"anw.13",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS2,NotSecuringLibraries,"c++_shared",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS3,NotSecuringLibraries,"anw.14",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS4,NotSecuringLibraries,"vlc",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS5,NotSecuringLibraries,"c++_shared",,Medialibrary,org.videolan.medialibrary,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java
CS6,NotSecuringLibraries,"anw.10",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS7,NotSecuringLibraries,"anw.21",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS8,NotSecuringLibraries,"iomx.10",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS9,NotSecuringLibraries,"mla",,Medialibrary,org.videolan.medialibrary,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,Medialibrary.java
CS10,NotSecuringLibraries,"vlcjni",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS11,NotSecuringLibraries,"iomx.13",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS12,NotSecuringLibraries,"iomx.14",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS13,NotSecuringLibraries,"iomx.18",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS14,NotSecuringLibraries,"iomx.19",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
CS15,NotSecuringLibraries,"anw.18",loadLibraries,LibVLC,org.videolan.libvlc,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java,LibVLC.java
