ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedDeclarationDetectio,,msat_type_equals,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS2,UnusedDeclarationDetectio,,mk_full_set,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS3,UnusedDeclarationDetectio,,msat_set_option,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS4,UnusedDeclarationDetectio,,msat_term_id,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS5,UnusedDeclarationDetectio,,mk_concat,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS6,UnusedDeclarationDetectio,,ast_vector_push,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS7,UnusedDeclarationDetectio,,mk_exists_const,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS8,UnusedDeclarationDetectio,,mk_ge,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS9,UnusedDeclarationDetectio,,tactic_cond,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS10,UnusedDeclarationDetectio,,mk_rotate_left,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS11,UnusedDeclarationDetectio,,fixedpoint_from_file,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS12,UnusedDeclarationDetectio,,msat_model_iterator_next,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS13,UnusedDeclarationDetectio,,msat_make_term_ite,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS14,UnusedDeclarationDetectio,,msat_objective_iterator_has_next,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS15,UnusedDeclarationDetectio,,tactic_dec_ref,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS16,UnusedDeclarationDetectio,,msat_term_is_bv_ashr,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS17,UnusedDeclarationDetectio,,tactic_using_params,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS18,UnusedDeclarationDetectio,,msat_make_bv_or,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS19,UnusedDeclarationDetectio,,ast_map_keys,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS20,UnusedDeclarationDetectio,,global_param_get,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS21,UnusedDeclarationDetectio,,get_sort_name,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS22,UnusedDeclarationDetectio,,get_decl_parameter_kind,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS23,UnusedDeclarationDetectio,,func_entry_get_num_args,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS24,UnusedDeclarationDetectio,,interrupt,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS25,UnusedDeclarationDetectio,,mk_zero_ext,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS26,UnusedDeclarationDetectio,,msat_solve_with_assumptions,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS27,UnusedDeclarationDetectio,,msat_make_or,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS28,UnusedDeclarationDetectio,,apply_result_convert_model,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS29,UnusedDeclarationDetectio,,mk_bvsle,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS30,UnusedDeclarationDetectio,,msat_decl_repr,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS31,UnusedDeclarationDetectio,,mk_quantifier,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS32,UnusedDeclarationDetectio,,get_smtlib_decl,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS33,UnusedDeclarationDetectio,,mk_real,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS34,UnusedDeclarationDetectio,,interpolation_profile,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS35,UnusedDeclarationDetectio,,msat_make_fp_isnormal,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS36,UnusedDeclarationDetectio,,goal_precision,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS37,UnusedDeclarationDetectio,,mk_bvadd_no_underflow,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS38,UnusedDeclarationDetectio,,ast_vector_size,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS39,UnusedDeclarationDetectio,,get_finite_domain_sort_size,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS40,UnusedDeclarationDetectio,,mk_store,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS41,UnusedDeclarationDetectio,,get_numeral_decimal_string,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS42,UnusedDeclarationDetectio,,stats_size,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS43,UnusedDeclarationDetectio,,msat_objective_value_is_minus_inf,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS44,UnusedDeclarationDetectio,,solver_pop,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS45,UnusedDeclarationDetectio,,solver_get_statistics,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS46,UnusedDeclarationDetectio,,mk_solver_from_tactic,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS47,UnusedDeclarationDetectio,,msat_make_fp_lt,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS48,UnusedDeclarationDetectio,,msat_make_bv_rol,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS49,UnusedDeclarationDetectio,,msat_make_bv_plus,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS50,UnusedDeclarationDetectio,,msat_make_fp_neg,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS51,UnusedDeclarationDetectio,,get_decl_num_parameters,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
CS52,UnusedDeclarationDetectio,,msat_make_constant,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS53,UnusedDeclarationDetectio,,mk_bvneg,Z3NativeApi,org.sosy_lab.solver.z3,/home/shahrukh/smellDetection/Detection/cloned_abidi/Remaining Abidi Projects/java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java
