File Path
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/media/Playlist.java
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/media/Genre.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/jni/libvlcjni-media.c
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/media/MediaWrapper.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/MediaPlayer.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/MediaDiscoverer.java
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/jni/medialibrary.cpp
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/VLCObject.java
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/media/Album.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/Media.java
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/Medialibrary.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/AWindow.java
Remaining Abidi Projects/vlc-android-2.5.4/medialibrary/src/org/videolan/medialibrary/media/Artist.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/LibVLC.java
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/jni/libvlcjni.c
Remaining Abidi Projects/vlc-android-2.5.4/libvlc/src/org/videolan/libvlc/Dialog.java
