Project Name,Total Lines of Code,Java (%),C/C++ (%),No. of JNI files,No. of Native Methods,Project links
ADI-master,12546,6.1,59.22,2,13,https://github.com/zkwlx/ADI
android-tree-sitter-main,3690,28.83,36.69,9,115,https://github.com/AndroidIDEOfficial/android-tree-sitter
Android-Zbar-JNI-Example-master,137531,0.38,93.96,4,47,https://github.com/ndunks/Android-Zbar-JNI-Example
AndroidDevWithCpp-master,6886,6.68,73.64,13,54,https://github.com/glumes/AndroidDevWithCpp
AndroidJNIDemo-master,79427,3.54,93.43,6,43,https://github.com/dingpengqiang/AndroidJNIDemo
Break_it_all-main,6112,5.12,37.03,2,22,https://github.com/simonppg/Break_it_all
dedekind-MKL-master,12156,34.69,60.69,3,113,https://github.com/stefan-zobel/dedekind-MKL
DevSlashLirc-master,1937,24.78,48.32,3,26,https://github.com/bengtmartensson/DevSlashLirc
extension_sdk_demo-master,3783,21.57,44.89,5,19,https://github.com/AsteriskZuo/extension_sdk_demo
faiss-center-master,178894,0.39,9.83,1,28,https://github.com/hacktmz/faiss-center
FumoCement-main,1542,46.95,33.59,15,57,https://github.com/novelrt/FumoCement
gdal-warp-bindings-master,4957,14.34,66.03,1,24,https://github.com/geotrellis/gdal-warp-bindings
GrandPlan-main,4269,10.35,19.84,1,19,https://github.com/npweber/GrandPlan
hello-jniCallback-master,337698,4.11,1.02,8,20,https://github.com/Jiangxuewu/hello-jniCallback
Intel_SGX_Proj-master,12324,14.48,56.63,8,42,https://github.com/sm67nono/Intel_SGX_Proj
ipc-master,2038,7.8,79.54,2,19,https://github.com/nmittu/ipc
janot-master,1175,24.94,40.43,7,31,https://github.com/pitcer/janot
JavaCAN-javacan-1.2,1790,39.27,37.6,1,27,https://github.com/pschichtel/JavaCAN/releases/tag/javacan-1.2
JavaCAN-master,6519,60.24,15.71,5,62,https://github.com/pschichtel/JavaCAN
JavaNativeUtils-master,24133,27.41,69.07,7,251,https://github.com/AlexanderSchuetz97/JavaNativeUtils
jazzer-0.9,6796,24.25,35.12,4,42,https://github.com/CodeIntelligenceTesting/jazzer/releases/tag/v0.9
