ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"adapterNativeSendMessageWithPBEcho",ExtensionSdkDemoAdapterJNIListener1::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/jni1/extension_sdk_demo_jni_listener_1.cpp,extension_sdk_demo_jni_listener_1.cpp
CS2,AssumingSafeMultiLanguageReturnValues,"java/util/HashMap",ExtSdkApi::callCoreApi,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/ExtSdkApi.cpp,ExtSdkApi.cpp
CS3,AssumingSafeMultiLanguageReturnValues,"getInstance",ExtensionSdkDemoSdkApiJava::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/java/ExtensionSdkDemoSdkApiJava.cpp,ExtensionSdkDemoSdkApiJava.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"adapterNativeSendMessageEcho",ExtensionSdkDemoAdapterJNIListener1::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/jni1/extension_sdk_demo_jni_listener_1.cpp,extension_sdk_demo_jni_listener_1.cpp
CS5,AssumingSafeMultiLanguageReturnValues,"sdkApi",ExtensionSdkDemoSdkApiJava::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/java/ExtensionSdkDemoSdkApiJava.cpp,ExtensionSdkDemoSdkApiJava.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"<init>",extension_sdk_demo_jni_2_api::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/jni2/extension_sdk_demo_jni_2_api.cpp,extension_sdk_demo_jni_2_api.cpp
CS7,AssumingSafeMultiLanguageReturnValues,"setMethodType",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"put",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
CS9,AssumingSafeMultiLanguageReturnValues,"com/example/extension_sdk_demo/test4/jni/ExtSdkCallbackJniR",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
CS10,AssumingSafeMultiLanguageReturnValues,"adapterNativeSendMessageWithJsonEcho",ExtensionSdkDemoAdapterJNIListener1::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/jni1/extension_sdk_demo_jni_listener_1.cpp,extension_sdk_demo_jni_listener_1.cpp
CS11,AssumingSafeMultiLanguageReturnValues,"com/example/extension_sdk_demo/test4/jni/ExtSdkApiJniR",ExtSdkApiJni::callSdkApi,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/java/ExtSdkApiJni.cpp,ExtSdkApiJni.cpp
CS12,AssumingSafeMultiLanguageReturnValues,"<init>",ExtSdkApiJni::callSdkApi,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/java/ExtSdkApiJni.cpp,ExtSdkApiJni.cpp
CS13,AssumingSafeMultiLanguageReturnValues,"adapterNativeHelloEcho",ExtensionSdkDemoAdapterJNIListener1::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/jni1/extension_sdk_demo_jni_listener_1.cpp,extension_sdk_demo_jni_listener_1.cpp
CS14,AssumingSafeMultiLanguageReturnValues,"<init>",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
CS15,AssumingSafeMultiLanguageReturnValues,"setNativeObj",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
CS16,AssumingSafeMultiLanguageReturnValues,"callSdkApi",ExtSdkApiJni::callSdkApi,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/java/ExtSdkApiJni.cpp,ExtSdkApiJni.cpp
CS17,AssumingSafeMultiLanguageReturnValues,"get",ExtSdkApi::callCoreApi,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/ExtSdkApi.cpp,ExtSdkApi.cpp
CS18,AssumingSafeMultiLanguageReturnValues,"setListener",ExtensionSdkDemoSdkApiJava::init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/java/ExtensionSdkDemoSdkApiJava.cpp,ExtensionSdkDemoSdkApiJava.cpp
CS19,AssumingSafeMultiLanguageReturnValues,"java/util/HashMap",ExtSdkClient::login,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects5/extension_sdk_demo-master/sdk/cpp/test4/core/wrapper/ExtSdkClient.cpp,ExtSdkClient.cpp
