ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"updateStatus",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS2,AssumingSafeMultiLanguageReturnValues,"com/bb_sz/ndk/App",initCheck,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkShell_a/src/main/jni/check.c,check.c
CS3,AssumingSafeMultiLanguageReturnValues,clsDexClassLoaderName,JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkShell_x/build/intermediates/assets/debug/sz_shell_a.c,sz_shell_a.c
CS4,AssumingSafeMultiLanguageReturnValues,"com/example/hello_jnicallback/JniHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS5,AssumingSafeMultiLanguageReturnValues,"com/bb_sz/jni/Jni",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForSDK/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS6,AssumingSafeMultiLanguageReturnValues,"getBytes",Jstring2CStr,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS7,AssumingSafeMultiLanguageReturnValues,"updateTimer",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS8,AssumingSafeMultiLanguageReturnValues,"java/lang/String",Jstring2CStr,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS9,AssumingSafeMultiLanguageReturnValues,"<init>",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
CS10,AssumingSafeMultiLanguageReturnValues,"run",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/appForkShell_x/build/intermediates/assets/debug/sz_shell_x.c,sz_shell_x.c
CS11,AssumingSafeMultiLanguageReturnValues,"getPackageName",getPackname,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects12/hello-jniCallback-master/app/src/main/jni/hello-jnicallback.c,hello-jnicallback.c
