ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"com/example/hellojnicallback/JniHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS2,AssumingSafeMultiLanguageReturnValues,"updateStatus",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS3,AssumingSafeMultiLanguageReturnValues,NATIVEACTIVITY_CLASS_NAME,JNIHelper::RetrieveClass,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"originalHeight",JNIHelper::LoadCubemapTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS5,AssumingSafeMultiLanguageReturnValues,"getPath",JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"android/util/Size",Java_com_sample_textureview_ViewActivity_getMinimumCompatiblePreviewSize,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/cpp/android_main.cpp,android_main.cpp
CS7,AssumingSafeMultiLanguageReturnValues,"loadClass",JNIHelper::RetrieveClass,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"updateTimer",UpdateTicks,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-jniCallback/src/main/cpp/hello-jnicallback.c,hello-jnicallback.c
CS9,AssumingSafeMultiLanguageReturnValues,"OnPhotoTaken",CameraEngine::OnPhotoTaken,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/cpp/camera_ui.cpp,camera_ui.cpp
CS10,AssumingSafeMultiLanguageReturnValues,"<init>",JNIHelper::ConvertString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS11,AssumingSafeMultiLanguageReturnValues,"toString",Java_com_sample_textureview_ViewActivity_onPreviewSurfaceDestroyed,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/cpp/android_main.cpp,android_main.cpp
CS12,AssumingSafeMultiLanguageReturnValues,NATIVEACTIVITY_CLASS_NAME,JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS13,AssumingSafeMultiLanguageReturnValues,"originalHeight",JNIHelper::LoadTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS14,AssumingSafeMultiLanguageReturnValues,"originalWidth",JNIHelper::LoadCubemapTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS15,AssumingSafeMultiLanguageReturnValues,"EnableRenderUI",ImageViewEngine::EnableRenderUI,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/display-p3/src/main/cpp/InputEventHandler.cpp,InputEventHandler.cpp
CS16,AssumingSafeMultiLanguageReturnValues,"image",JNIHelper::LoadImage,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS17,AssumingSafeMultiLanguageReturnValues,"java/io/File",JNIHelper::GetExternalFilesDirJString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS18,AssumingSafeMultiLanguageReturnValues,"originalHeight",JNIHelper::LoadImage,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS19,AssumingSafeMultiLanguageReturnValues,"UpdateUI",ImageViewEngine::UpdateUI,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/display-p3/src/main/cpp/InputEventHandler.cpp,InputEventHandler.cpp
CS20,AssumingSafeMultiLanguageReturnValues,"getPackageName",AcquireASensorManagerInstance,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/sensorManager.cpp,sensorManager.cpp
CS21,AssumingSafeMultiLanguageReturnValues,"<init>",JNIHelper::Init,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS22,AssumingSafeMultiLanguageReturnValues,"alphaChannel",JNIHelper::LoadImage,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS23,AssumingSafeMultiLanguageReturnValues,"getClassLoader",JNIHelper::RetrieveClass,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS24,AssumingSafeMultiLanguageReturnValues,"android/view/Surface",Java_com_sample_textureview_ViewActivity_onPreviewSurfaceDestroyed,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/cpp/android_main.cpp,android_main.cpp
CS25,AssumingSafeMultiLanguageReturnValues,"<init>",JNIHelper::CreateObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS26,AssumingSafeMultiLanguageReturnValues,"originalWidth",JNIHelper::LoadTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS27,AssumingSafeMultiLanguageReturnValues,class_name,JNIHelper::CreateObject,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS28,AssumingSafeMultiLanguageReturnValues,"ret",JNIHelper::LoadCubemapTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
CS29,AssumingSafeMultiLanguageReturnValues,"alphaChannel",JNIHelper::LoadCubemapTexture,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/common/ndk_helper/JNIHelper.cpp,JNIHelper.cpp
