ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"com/connectedway/io/Framework$Map",new_maps,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS2,AssumingSafeMultiLanguageReturnValues,"fromString",Java_com_connectedway_io_Framework_getUUID,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS3,AssumingSafeMultiLanguageReturnValues,"com/connectedway/io/Framework$Map",map_get_desc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS4,AssumingSafeMultiLanguageReturnValues,"getIpAddress",interface_get_ip_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS5,AssumingSafeMultiLanguageReturnValues,"com/connectedway/io/FileDescriptor",new_fd,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS6,AssumingSafeMultiLanguageReturnValues,"com/connectedway/io/Framework$Map",map_get_thumbnail,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS7,AssumingSafeMultiLanguageReturnValues,"java/net/URI",new_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS8,AssumingSafeMultiLanguageReturnValues,"setAttributes",Java_com_connectedway_io_FileSystem_findFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS9,AssumingSafeMultiLanguageReturnValues,"newMap",new_map,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS10,AssumingSafeMultiLanguageReturnValues,"java/net/InetAddress",new_wins,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS11,AssumingSafeMultiLanguageReturnValues,"com/connectedway/io/File",new_file_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS12,AssumingSafeMultiLanguageReturnValues,"toString",Java_com_connectedway_io_Framework_load,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS13,AssumingSafeMultiLanguageReturnValues,"getPath",map_get_path,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS14,AssumingSafeMultiLanguageReturnValues,"<init>",new_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS15,AssumingSafeMultiLanguageReturnValues,"setAttributes",Java_com_connectedway_io_FileSystem_listFiles,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS16,AssumingSafeMultiLanguageReturnValues,"java/net/InetAddress",new_inet_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS17,AssumingSafeMultiLanguageReturnValues,"toString",file_get_path,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
