ID,Name,Variable,Method,Class,Package,File,File Name
CS1,MemoryManagementMismatch,DoubleArrayElements,Java_com_bcu_userlab_haptics_HDAL_HDLU_hdluGenerateHapticToAppWorkspaceTransform,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/C Source/JHDAL/JHDAL/JHDLU.cpp,JHDLU.cpp
CS2,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLoadMatrixd,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS3,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLocalFeature2dv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS4,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLocalFeature1dv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS5,MemoryManagementMismatch,FloatArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLocalFeature1fv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS6,MemoryManagementMismatch,IntArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlEffectiv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS7,MemoryManagementMismatch,LongArrayElements,Java_com_uce_userlab_haptics_HD_HDAPI_hdSetLongv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS8,MemoryManagementMismatch,FloatArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlMultMatrixf,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS9,MemoryManagementMismatch,FloatArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLocalFeature2fv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS10,MemoryManagementMismatch,IntArrayElements,Java_com_uce_userlab_haptics_HD_HDAPI_hdSetIntegerv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS11,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HD_HDAPI_hdSetDoublev,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS12,MemoryManagementMismatch,FloatArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlLoadMatrixf,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS13,MemoryManagementMismatch,StringUTFChars,Java_com_uce_userlab_haptics_HD_HDAPI_hdInitDevice,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS14,MemoryManagementMismatch,BooleanArrayElements,Java_com_uce_userlab_haptics_HD_HDAPI_hdSetBooleanv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS15,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlMultMatrixd,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS16,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlEffectdv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS17,MemoryManagementMismatch,StringUTFChars,Java_com_bcu_userlab_haptics_HDAL_HDAL_hdlInitNamedDevice,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/C Source/JHDAL/JHDAL/JHDAL.cpp,JHDAL.cpp
CS18,MemoryManagementMismatch,FloatArrayElements,Java_com_uce_userlab_haptics_HD_HDAPI_hdSetFloatv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS19,MemoryManagementMismatch,DoubleArrayElements,Java_com_uce_userlab_haptics_HL_HLAPI_hlProxydv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS20,MemoryManagementMismatch,DoubleArrayElements,Java_com_bcu_userlab_haptics_HDAL_HDAL_hdlSetToolForce,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/C Source/JHDAL/JHDAL/JHDAL.cpp,JHDAL.cpp
