ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"com/connectedway/io/Framework$Map",new_maps,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS2,NotHandlingExceptions,"fromString",Java_com_connectedway_io_Framework_getUUID,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS3,NotHandlingExceptions,"com/connectedway/io/Framework$Map",map_get_desc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS4,NotHandlingExceptions,"getIpAddress",interface_get_ip_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS5,NotHandlingExceptions,"com/connectedway/io/FileDescriptor",new_fd,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS6,NotHandlingExceptions,"com/connectedway/io/Framework$Map",map_get_thumbnail,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS7,NotHandlingExceptions,"java/lang/SecurityException",Java_com_connectedway_io_FileSystem_open,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS8,NotHandlingExceptions,"java/net/URI",new_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS9,NotHandlingExceptions,"setAttributes",Java_com_connectedway_io_FileSystem_findFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS10,NotHandlingExceptions,"newMap",new_map,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS11,NotHandlingExceptions,"java/net/InetAddress",new_wins,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS12,NotHandlingExceptions,"com/connectedway/io/File",new_file_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS13,NotHandlingExceptions,"toString",Java_com_connectedway_io_Framework_load,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS14,NotHandlingExceptions,"getPath",map_get_path,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS15,NotHandlingExceptions,"<init>",new_uri,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS16,NotHandlingExceptions,"setAttributes",Java_com_connectedway_io_FileSystem_listFiles,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS17,NotHandlingExceptions,"java/net/InetAddress",new_inet_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS18,NotHandlingExceptions,"toString",file_get_path,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS19,NotHandlingExceptions,"toString",Java_com_connectedway_io_Framework_setUUID,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS20,NotHandlingExceptions,"getBcastAddress",interface_get_bcast_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS21,NotHandlingExceptions,"java/net/URI",FileURIToString,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS22,NotHandlingExceptions,"getThumbnailMode",map_get_thumbnail,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS23,NotHandlingExceptions,"java/io/FileNotFoundException",Java_com_connectedway_io_FileSystem_open,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS24,NotHandlingExceptions,"getHandle",file_descriptor_get_handle,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Utils.c,com_connectedway_io_Utils.c
CS25,NotHandlingExceptions,"getName",map_get_name,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS26,NotHandlingExceptions,"com/connectedway/io/Framework$Map",map_get_type,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS27,NotHandlingExceptions,"com/connectedway/io/Framework$mapType",map_get_type,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS28,NotHandlingExceptions,"com/connectedway/io/File",Java_com_connectedway_io_FileSystem_isAbsolute,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS29,NotHandlingExceptions,"java/lang/SecurityException",Java_com_connectedway_io_FileSystem_findFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS30,NotHandlingExceptions,"com/connectedway/io/Framework$Interface",new_interfaces,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS31,NotHandlingExceptions,"getParent",Java_com_connectedway_io_FileSystem_findFile,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Filesystem.c,com_connectedway_io_Filesystem.c
CS32,NotHandlingExceptions,"java/util/UUID",Java_com_connectedway_io_Framework_getUUID,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
CS33,NotHandlingExceptions,"getByAddress",new_inet_address,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects2/of_core_jni-main/src/com_connectedway_io_Framework.c,com_connectedway_io_Framework.c
