ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,iparam,Java_com_uce_userlab_haptics_HD_HDAPI_hdEndFrame,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HDAPI.c,HDAPI.c
CS2,UnusedParameters,obj,HD_Callback,PhantomDevice,com.uce.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/src/com/uce/userlab/haptics/PhantomDevice.java,PhantomDevice.java
CS3,UnusedParameters,obj,HD_Callback,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS4,UnusedParameters,enable,isForceRamping,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS5,UnusedParameters,enable,isMaxForceClamping,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS6,UnusedParameters,pname,Java_com_uce_userlab_haptics_HL_HLAPI_hlCacheGetDoublev,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS7,UnusedParameters,intersectionNormal[3],intersectCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS8,UnusedParameters,obj,HDLServoOp,FalconDevice,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/FalconDevice.java,FalconDevice.java
CS9,UnusedParameters,cache,Java_com_uce_userlab_haptics_HL_HLAPI_hlCacheGetBooleanv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS10,UnusedParameters,intersectionPt[3],intersectCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS11,UnusedParameters,closestPt[3],closestFeatureCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS12,UnusedParameters,enable,isSoftwareVelocityLimit,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS13,UnusedParameters,geom,closestFeatureCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS14,UnusedParameters,cache,Java_com_uce_userlab_haptics_HL_HLAPI_hlCacheGetDoublev,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS15,UnusedParameters,enable,isSoftwareForceImpulseLimit,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS16,UnusedParameters,min,setMinForce,HapticDevice,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HapticDevice.java,HapticDevice.java
CS17,UnusedParameters,enable,isForceOutput,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS18,UnusedParameters,enable,isSoftwareForceLimit,Phantom,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/Phantom.java,Phantom.java
CS19,UnusedParameters,pname,Java_com_uce_userlab_haptics_HL_HLAPI_hlCacheGetBooleanv,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v1/JTouchToolkit/C Code/HLAPI.c,HLAPI.c
CS20,UnusedParameters,max,setMaxForce,HapticDevice,com.bcu.userlab.haptics,/home/shahrukh/smellDetection/Detection/projects/projects/projects3/JTouchToolkit-master/v2/JTouchToolkit/src/com/bcu/userlab/haptics/HapticDevice.java,HapticDevice.java
