ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,time,pointer_handle_button,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/video/wayland/SDL_waylandevents.c,SDL_waylandevents.c
CS2,UnusedParameters,iscapture,DISKAUD_OpenDevice,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/audio/disk/SDL_diskaudio.c,SDL_diskaudio.c
CS3,UnusedParameters,subpixel,display_handle_geometry,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/video/wayland/SDL_waylandvideo.c,SDL_waylandvideo.c
CS4,UnusedParameters,userData,Emscripten_JoyStickDisconnected,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/joystick/emscripten/SDL_sysjoystick.c,SDL_sysjoystick.c
CS5,UnusedParameters,module,FindAllDevs,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/audio/directsound/SDL_directsound.c,SDL_directsound.c
CS6,UnusedParameters,pixel_format,PSP_RenderReadPixels,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/render/psp/SDL_render_psp.c,SDL_render_psp.c
CS7,UnusedParameters,param,onUnhandledMessage,SDLActivity,org.libsdl.app,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/java/org/libsdl/app/SDLActivity.java,SDLActivity.java
CS8,UnusedParameters,num,Android_JNI_FileWrite,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/core/android/SDL_android.c,SDL_android.c
CS9,UnusedParameters,chunks[],dlindependent_comalloc,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/stdlib/SDL_malloc.c,SDL_malloc.c
CS10,UnusedParameters,mode,PSP_SetDisplayMode,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/video/psp/SDL_pspvideo.c,SDL_pspvideo.c
CS11,UnusedParameters,mode,NACL_SetDisplayMode,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/video/nacl/SDL_naclvideo.c,SDL_naclvideo.c
CS12,UnusedParameters,iscapture,HAIKUAUDIO_OpenDevice,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/audio/haiku/SDL_haikuaudio.cc,SDL_haikuaudio.cc
CS13,UnusedParameters,b,SDL_BlendFillRect_RGB888,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/render/software/SDL_blendfillrect.c,SDL_blendfillrect.c
CS14,UnusedParameters,inTimeStamp,outputCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/audio/coreaudio/SDL_coreaudio.c,SDL_coreaudio.c
CS15,UnusedParameters,grabbed,DirectFB_SetWindowGrab,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/SDL2-Ndk-Opengles-SampleApp-master/app/src/main/jni/SDL/src/video/directfb/SDL_DirectFB_window.c,SDL_DirectFB_window.c
