ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,view,onEchoClick,MainActivity,com.google.sample.echo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/audio-echo/src/main/java/com/google/sample/echo/MainActivity.java,MainActivity.java
CS2,UnusedParameters,frameNumber,NDKCamera::OnCaptureSequenceEnd,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-basic/src/main/cpp/camera_listeners.cpp,camera_listeners.cpp
CS3,UnusedParameters,config,onSurfaceCreated,MyRenderer,com.example.nativemedia,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/java/com/example/nativemedia/MyGLSurfaceView.java,MyGLSurfaceView.java
CS4,UnusedParameters,surface,onFrameAvailable,MyRenderer,com.example.nativecodec,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-codec/src/main/java/com/example/nativecodec/MyGLSurfaceView.java,MyGLSurfaceView.java
CS5,UnusedParameters,gl,onSurfaceCreated,GLES3JNIView,com.android.gles3jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/gles3jni/src/main/java/com/android/gles3jni/GLES3JNIView.java,GLES3JNIView.java
CS6,UnusedParameters,LANE,_MM_INSERT_PS,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-neno/src/main/cpp/NEON_2_SSE.h,NEON_2_SSE.h
CS7,UnusedParameters,surface,onSurfaceTextureDestroyed,ViewActivity,com.sample.textureview,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/java/com/sample/textureview/ViewActivity.java,ViewActivity.java
CS8,UnusedParameters,glUnused,onSurfaceCreated,MyRenderer,com.example.nativemedia,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/java/com/example/nativemedia/MyGLSurfaceView.java,MyGLSurfaceView.java
CS9,UnusedParameters,height,setFixedSize,NativeMedia,com.example.nativemedia,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/java/com/example/nativemedia/NativeMedia.java,NativeMedia.java
CS10,UnusedParameters,gl,onSurfaceChanged,DemoRenderer,com.example.SanAngeles,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/san-angeles/src/main/java/com/example/SanAngeles/DemoActivity.java,DemoActivity.java
CS11,UnusedParameters,view,getLowLatencyParameters,MainActivity,com.google.sample.echo,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/audio-echo/src/main/java/com/google/sample/echo/MainActivity.java,MainActivity.java
CS12,UnusedParameters,config,onSurfaceCreated,GL2JNIView,com.android.gl2jni,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/hello-gl2/src/main/java/com/android/gl2jni/GL2JNIView.java,GL2JNIView.java
CS13,UnusedParameters,surface,onSurfaceTextureSizeChanged,ViewActivity,com.sample.textureview,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/camera-texture/src/main/java/com/sample/textureview/ViewActivity.java,ViewActivity.java
CS14,UnusedParameters,glUnused,onSurfaceCreated,MyRenderer,com.example.nativecodec,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-codec/src/main/java/com/example/nativecodec/MyGLSurfaceView.java,MyGLSurfaceView.java
CS15,UnusedParameters,pEventData,StreamChangeCallback,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects6/ndk-master/native-media/src/main/cpp/native-media-jni.c,native-media-jni.c
