ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,offset,onMessage,LatencyBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/LatencyBenchmark.java,LatencyBenchmark.java
CS2,UnusedParameters,channel,onRequestFailed,LatencyBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/LatencyBenchmark.java,LatencyBenchmark.java
CS3,UnusedParameters,queuePair,bindMemoryWindow,RegisteredBufferWindow,de.hhu.bsinfo.neutrino.buffer,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/core/src/main/java/de/hhu/bsinfo/neutrino/buffer/RegisteredBufferWindow.java,RegisteredBufferWindow.java
CS4,UnusedParameters,flags,bindMemoryWindow,RegisteredBufferWindow,de.hhu.bsinfo.neutrino.buffer,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/core/src/main/java/de/hhu/bsinfo/neutrino/buffer/RegisteredBufferWindow.java,RegisteredBufferWindow.java
CS5,UnusedParameters,identifier,onFetchCompletion,SendAgent,de.hhu.bsinfo.neutrino.api.network.impl.agent,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/api/src/main/java/de/hhu/bsinfo/neutrino/api/network/impl/agent/SendAgent.java,SendAgent.java
CS6,UnusedParameters,b,Java_de_hhu_bsinfo_neutrino_bench_JniCall_addNativeComplex__JJ,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/core/src/main/cpp/de_hhu_bsinfo_neutrino_bench_JniCall.cpp,de_hhu_bsinfo_neutrino_bench_JniCall.cpp
CS7,UnusedParameters,channel,onMessage,ThroughputBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/ThroughputBenchmark.java,ThroughputBenchmark.java
CS8,UnusedParameters,msgTypeId,onMessage,RequestProcessor,de.hhu.bsinfo.neutrino.api.network.impl.util,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/api/src/main/java/de/hhu/bsinfo/neutrino/api/network/impl/util/RequestProcessor.java,RequestProcessor.java
CS9,UnusedParameters,id,onRequestFailed,ReadWriteBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/ReadWriteBenchmark.java,ReadWriteBenchmark.java
CS10,UnusedParameters,a,Java_de_hhu_bsinfo_neutrino_bench_JniCall_addNativeComplex__JJ,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/core/src/main/cpp/de_hhu_bsinfo_neutrino_bench_JniCall.cpp,de_hhu_bsinfo_neutrino_bench_JniCall.cpp
CS11,UnusedParameters,id,onRequestCompleted,LatencyBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/LatencyBenchmark.java,LatencyBenchmark.java
CS12,UnusedParameters,serverAddress,connect,InternalNetworkService,de.hhu.bsinfo.neutrino.api.network.impl,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/api/src/main/java/de/hhu/bsinfo/neutrino/api/network/impl/InternalNetworkService.java,InternalNetworkService.java
CS13,UnusedParameters,id,onRequestFailed,ThroughputBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/ThroughputBenchmark.java,ThroughputBenchmark.java
CS14,UnusedParameters,serverAddress,listen,InternalNetworkService,de.hhu.bsinfo.neutrino.api.network.impl,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/api/src/main/java/de/hhu/bsinfo/neutrino/api/network/impl/InternalNetworkService.java,InternalNetworkService.java
CS15,UnusedParameters,length,onMessage,ThroughputBenchmark,de.hhu.bsinfo.neutrino.example.command.bench,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/example/src/main/java/de/hhu/bsinfo/neutrino/example/command/bench/ThroughputBenchmark.java,ThroughputBenchmark.java
CS16,UnusedParameters,identifier,onSwapCompletion,SendAgent,de.hhu.bsinfo.neutrino.api.network.impl.agent,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/neutrino-master/api/src/main/java/de/hhu/bsinfo/neutrino/api/network/impl/agent/SendAgent.java,SendAgent.java
