ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,param,engineGetParameter,WolfCryptSignature,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptSignature.java,WolfCryptSignature.java
CS2,UnusedParameters,rng_object,Java_com_wolfssl_wolfcrypt_Fips_RsaSSL_1Sign_1fips___3BJ_3BJLcom_wolfssl_wolfcrypt_Rsa_2Lcom_wolfssl_wolfcrypt_Rng_2,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/jni/jni_fips.c,jni_fips.c
CS3,UnusedParameters,random,wcKeyAgreementInit,WolfCryptKeyAgreement,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptKeyAgreement.java,WolfCryptKeyAgreement.java
CS4,UnusedParameters,seed,engineSetSeed,WolfCryptRandom,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptRandom.java,WolfCryptRandom.java
CS5,UnusedParameters,param,engineSetParameter,WolfCryptSignature,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptSignature.java,WolfCryptSignature.java
CS6,UnusedParameters,rng_object,Java_com_wolfssl_wolfcrypt_Fips_RsaSSL_1Sign_1fips__Ljava_nio_ByteBuffer_2JLjava_nio_ByteBuffer_2JLcom_wolfssl_wolfcrypt_Rsa_2Lcom_wolfssl_wolfcrypt_Rng_2,,,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/jni/jni_fips.c,jni_fips.c
CS7,UnusedParameters,params,engineInit,WolfCryptMac,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptMac.java,WolfCryptMac.java
CS8,UnusedParameters,key,wolfCryptInitPublicKey,WolfCryptSignature,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptSignature.java,WolfCryptSignature.java
CS9,UnusedParameters,random,initialize,WolfCryptKeyPairGenerator,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptKeyPairGenerator.java,WolfCryptKeyPairGenerator.java
CS10,UnusedParameters,value,engineSetParameter,WolfCryptSignature,com.wolfssl.provider.jce,/home/shahrukh/smellDetection/Detection/projects/projects/projects10/wolfcrypt-jni-master/src/main/java/com/wolfssl/provider/jce/WolfCryptSignature.java,WolfCryptSignature.java
